student_id,engagement_score,test1_grade,persona_quadrant,persona_kmeans,lifespan,outcome
1507,0.5664,0,Engaged struggler,High eng / low grades,4,Completed
1508,0.3932,1,Engaged struggler,High eng / low grades,4,Completed
1509,0.4986,1,Engaged struggler,High eng / low grades,4,Completed
1510,-0.2325,4,Detached achiever,Low eng / high grades,4,Completed
1511,0.0034,0,Disengaged,Low eng / low grades,4,Completed
1512,-0.9843,3,Detached achiever,Low eng / high grades,4,Completed
1513,-1.1249,4,Detached achiever,Low eng / high grades,4,Completed
1514,-0.3533,3,Detached achiever,Low eng / high grades,4,Completed
1515,0.2011,1,Engaged struggler,High eng / low grades,1,Left after Test 1
1516,0.5826,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1517,0.513,4,Engaged achiever,High eng / high grades,4,Completed
1518,-0.0032,2,Disengaged,Low eng / low grades,3,Left after Test 3
1519,1.2611,1,Engaged struggler,High eng / low grades,2,Left after Test 2
1520,-0.2296,0,Disengaged,Low eng / low grades,4,Completed
1521,-0.5656,2,Disengaged,Low eng / low grades,4,Administrative dropout
1522,-0.6029,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1523,-0.0239,0,Disengaged,Low eng / low grades,4,Completed
1524,0.1674,0,Engaged struggler,High eng / low grades,4,Completed
1525,-0.7745,2,Disengaged,Low eng / low grades,2,Left after Test 2
1526,0.0935,1,Engaged struggler,High eng / low grades,4,Completed
1527,-0.8478,1,Disengaged,Low eng / low grades,2,Left after Test 2
1528,0.6412,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1529,-0.7597,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1530,0.9237,4,Engaged achiever,High eng / high grades,4,Completed
1531,-0.0103,4,Detached achiever,High eng / high grades,4,Completed
1532,0.1951,4,Engaged achiever,High eng / high grades,4,Completed
1533,-0.2606,1,Disengaged,Low eng / low grades,2,Left after Test 2
1534,-0.1143,4,Detached achiever,High eng / high grades,4,Completed
1535,-0.9344,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1536,0.2452,3,Engaged achiever,High eng / high grades,4,Completed
1537,-0.0333,1,Disengaged,Low eng / low grades,4,Completed
1538,0.5037,3,Engaged achiever,High eng / high grades,4,Administrative dropout
1539,-0.4953,4,Detached achiever,Low eng / high grades,3,Left after Test 3
1540,0.3076,1,Engaged struggler,High eng / low grades,4,Administrative dropout
1541,0.7576,4,Engaged achiever,High eng / high grades,4,Completed
1542,-0.3105,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1543,0.3318,0,Engaged struggler,High eng / low grades,4,Completed
1544,-0.6656,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1545,0.5264,1,Engaged struggler,High eng / low grades,4,Completed
1546,0.5548,0,Engaged struggler,High eng / low grades,4,Completed
1547,-0.8962,2,Disengaged,Low eng / low grades,2,Left after Test 2
1548,-0.5689,2,Disengaged,Low eng / low grades,2,Left after Test 2
1549,-0.4396,1,Disengaged,Low eng / low grades,3,Left after Test 3
1550,0.4281,3,Engaged achiever,High eng / high grades,4,Administrative dropout
1551,0.0137,2,Engaged struggler,Low eng / low grades,4,Completed
1552,-0.0118,4,Detached achiever,High eng / high grades,3,Left after Test 3
1553,-0.0785,4,Detached achiever,High eng / high grades,3,Left after Test 3
1554,-0.2497,1,Disengaged,Low eng / low grades,2,Left after Test 2
1555,1.4023,4,Engaged achiever,High eng / high grades,4,Completed
1556,0.686,2,Engaged struggler,High eng / low grades,4,Completed
1557,0.3302,3,Engaged achiever,High eng / high grades,4,Completed
1558,-0.4862,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1559,-0.1773,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1560,0.627,0,Engaged struggler,High eng / low grades,4,Completed
1561,-0.3222,0,Disengaged,Low eng / low grades,4,Completed
1562,0.1379,3,Engaged achiever,High eng / high grades,1,Left after Test 1
1563,-0.3619,2,Disengaged,Low eng / low grades,3,Left after Test 3
1564,1.5954,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1565,0.8881,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1566,1.2108,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1567,-0.252,2,Disengaged,Low eng / low grades,4,Administrative dropout
1568,-0.5348,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1569,-0.1715,4,Detached achiever,Low eng / high grades,4,Completed
1570,1.5604,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1571,0.0232,3,Engaged achiever,High eng / high grades,4,Completed
1572,0.0536,3,Engaged achiever,High eng / high grades,4,Completed
1573,-0.9727,4,Detached achiever,Low eng / high grades,4,Completed
1574,-0.2597,4,Detached achiever,Low eng / high grades,4,Completed
1575,0.4616,0,Engaged struggler,High eng / low grades,4,Completed
1576,-1.1512,3,Detached achiever,Low eng / high grades,1,Left after Test 1
1577,1.5574,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1578,-0.7487,0,Disengaged,Low eng / low grades,1,Left after Test 1
1579,-0.2646,1,Disengaged,Low eng / low grades,1,Left after Test 1
1580,-0.3508,1,Disengaged,Low eng / low grades,4,Completed
1581,0.3209,0,Engaged struggler,High eng / low grades,4,Completed
1582,-0.1564,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1583,-0.2412,1,Disengaged,Low eng / low grades,4,Completed
1584,-0.0503,3,Detached achiever,High eng / high grades,4,Completed
1585,-0.1987,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1586,0.493,1,Engaged struggler,High eng / low grades,4,Completed
1587,-0.5305,4,Detached achiever,Low eng / high grades,3,Left after Test 3
1588,0.2943,0,Engaged struggler,High eng / low grades,4,Completed
1589,-0.1621,0,Disengaged,Low eng / low grades,4,Completed
1590,1.169,0,Engaged struggler,High eng / low grades,4,Completed
1591,-0.452,1,Disengaged,Low eng / low grades,4,Completed
1592,-0.4274,1,Disengaged,Low eng / low grades,4,Administrative dropout
1593,-0.6077,0,Disengaged,Low eng / low grades,1,Left after Test 1
1594,0.0794,2,Engaged struggler,Low eng / low grades,4,Completed
1595,0.1579,1,Engaged struggler,High eng / low grades,4,Completed
1596,0.1715,3,Engaged achiever,High eng / high grades,2,Left after Test 2
1597,0.1402,1,Engaged struggler,High eng / low grades,4,Completed
1598,-0.9841,1,Disengaged,Low eng / low grades,2,Left after Test 2
1599,0.6682,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1600,0.5614,0,Engaged struggler,High eng / low grades,4,Completed
1601,-0.8194,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1602,0.0416,4,Engaged achiever,High eng / high grades,4,Completed
1603,-0.2141,3,Detached achiever,Low eng / high grades,4,Completed
1604,1.872,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1605,-0.7211,2,Disengaged,Low eng / low grades,2,Left after Test 2
1606,-1.127,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1607,-0.8721,0,Disengaged,Low eng / low grades,4,Completed
1608,-0.2377,0,Disengaged,Low eng / low grades,3,Left after Test 3
1609,-0.2415,3,Detached achiever,Low eng / high grades,4,Administrative dropout
1610,-0.0204,1,Disengaged,Low eng / low grades,4,Completed
1611,-0.1044,0,Disengaged,Low eng / low grades,3,Left after Test 3
1612,-0.1082,4,Detached achiever,High eng / high grades,4,Completed
1613,-0.0974,1,Disengaged,Low eng / low grades,4,Completed
1614,0.1534,2,Engaged struggler,High eng / low grades,4,Completed
1615,-0.0315,2,Disengaged,Low eng / low grades,4,Completed
1616,0.2528,4,Engaged achiever,High eng / high grades,4,Completed
1617,-0.0201,0,Disengaged,Low eng / low grades,4,Completed
1618,-0.2009,1,Disengaged,Low eng / low grades,4,Completed
1619,-0.4351,4,Detached achiever,Low eng / high grades,4,Completed
1620,-0.6127,1,Disengaged,Low eng / low grades,2,Left after Test 2
1621,-1.107,3,Detached achiever,Low eng / high grades,4,Completed
1622,-0.412,0,Disengaged,Low eng / low grades,3,Left after Test 3
1623,0.364,2,Engaged struggler,High eng / low grades,4,Completed
1624,0.4561,4,Engaged achiever,High eng / high grades,4,Completed
1625,-1.2301,3,Detached achiever,Low eng / high grades,4,Completed
1626,0.4442,4,Engaged achiever,High eng / high grades,4,Completed
1627,-0.5917,3,Detached achiever,Low eng / high grades,4,Completed
1628,-1.1915,2,Disengaged,Low eng / high grades,1,Left after Test 1
1629,-0.9256,0,Disengaged,Low eng / low grades,1,Left after Test 1
1630,1.1431,0,Engaged struggler,High eng / low grades,4,Completed
1631,-0.1772,1,Disengaged,Low eng / low grades,4,Completed
1632,-0.94,1,Disengaged,Low eng / low grades,2,Left after Test 2
1633,-1.063,3,Detached achiever,Low eng / high grades,4,Completed
1634,-0.194,3,Detached achiever,Low eng / high grades,4,Completed
1635,0.1932,2,Engaged struggler,High eng / low grades,4,Completed
1636,-0.2571,0,Disengaged,Low eng / low grades,3,Left after Test 3
1637,0.3668,2,Engaged struggler,High eng / low grades,4,Completed
1638,1.4503,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1639,-0.9751,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1640,-0.6416,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1641,-0.7344,0,Disengaged,Low eng / low grades,1,Left after Test 1
1642,-1.0739,2,Disengaged,Low eng / high grades,1,Left after Test 1
1643,0.3357,4,Engaged achiever,High eng / high grades,4,Completed
1644,-0.3908,4,Detached achiever,Low eng / high grades,4,Completed
1645,-0.2186,3,Detached achiever,Low eng / high grades,4,Completed
1646,-0.6877,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1647,0.8329,2,Engaged struggler,High eng / low grades,4,Completed
1648,-0.1853,4,Detached achiever,Low eng / high grades,4,Completed
1649,-0.7009,1,Disengaged,Low eng / low grades,2,Left after Test 2
1650,0.1702,0,Engaged struggler,High eng / low grades,4,Completed
1651,-1.056,0,Disengaged,Low eng / low grades,4,Completed
1652,0.6034,1,Engaged struggler,High eng / low grades,4,Completed
1653,0.9959,3,Engaged achiever,High eng / high grades,4,Completed
1654,-0.9406,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1655,0.1313,1,Engaged struggler,High eng / low grades,4,Completed
1656,-0.7168,1,Disengaged,Low eng / low grades,3,Left after Test 3
1657,0.2428,0,Engaged struggler,High eng / low grades,4,Completed
1658,-0.4382,0,Disengaged,Low eng / low grades,3,Left after Test 3
1659,0.354,1,Engaged struggler,High eng / low grades,4,Completed
1660,0.3012,4,Engaged achiever,High eng / high grades,4,Completed
1661,0.1017,4,Engaged achiever,High eng / high grades,3,Left after Test 3
1662,0.2536,0,Engaged struggler,High eng / low grades,4,Completed
1663,1.1455,0,Engaged struggler,High eng / low grades,4,Administrative dropout
1664,-1.1246,4,Detached achiever,Low eng / high grades,4,Completed
1665,0.2647,4,Engaged achiever,High eng / high grades,4,Administrative dropout
1666,0.1721,0,Engaged struggler,High eng / low grades,4,Completed
1667,0.6962,1,Engaged struggler,High eng / low grades,4,Completed
1668,0.2382,4,Engaged achiever,High eng / high grades,4,Administrative dropout
1669,0.0382,0,Engaged struggler,Low eng / low grades,4,Completed
1670,0.963,2,Engaged struggler,High eng / low grades,4,Completed
1671,0.6659,2,Engaged struggler,High eng / low grades,4,Administrative dropout
1672,0.3536,0,Engaged struggler,High eng / low grades,4,Completed
1673,0.9354,4,Engaged achiever,High eng / high grades,4,Completed
1674,0.1547,2,Engaged struggler,High eng / low grades,4,Completed
1675,-1.0169,4,Detached achiever,Low eng / high grades,4,Completed
1676,-0.3872,1,Disengaged,Low eng / low grades,4,Administrative dropout
1677,0.0645,1,Engaged struggler,Low eng / low grades,2,Left after Test 2
1678,0.0138,3,Engaged achiever,High eng / high grades,4,Completed
1679,0.2569,1,Engaged struggler,High eng / low grades,4,Completed
1680,0.1695,2,Engaged struggler,High eng / low grades,4,Completed
1681,-0.363,4,Detached achiever,Low eng / high grades,4,Completed
1682,0.6213,0,Engaged struggler,High eng / low grades,4,Administrative dropout
1683,-0.332,0,Disengaged,Low eng / low grades,4,Administrative dropout
1684,0.1029,1,Engaged struggler,High eng / low grades,4,Completed
1685,-0.3498,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1686,-0.1444,0,Disengaged,Low eng / low grades,4,Completed
1687,-0.7197,2,Disengaged,Low eng / low grades,1,Left after Test 1
1688,-0.2394,2,Disengaged,Low eng / low grades,4,Administrative dropout
1689,0.3244,3,Engaged achiever,High eng / high grades,4,Completed
1690,1.2754,1,Engaged struggler,High eng / low grades,2,Left after Test 2
1691,-0.3589,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1692,0.522,4,Engaged achiever,High eng / high grades,4,Completed
1693,-0.7564,2,Disengaged,Low eng / low grades,4,Administrative dropout
1694,-0.206,4,Detached achiever,Low eng / high grades,3,Left after Test 3
1695,1.7095,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1696,0.0039,4,Detached achiever,High eng / high grades,4,Completed
1697,0.1703,3,Engaged achiever,High eng / high grades,4,Completed
1698,-0.5007,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1699,1.343,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1700,-0.7995,2,Disengaged,Low eng / low grades,2,Left after Test 2
1701,-0.7454,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1702,-1.0949,4,Detached achiever,Low eng / high grades,4,Completed
1703,0.2104,3,Engaged achiever,High eng / high grades,2,Left after Test 2
1704,0.4625,1,Engaged struggler,High eng / low grades,4,Administrative dropout
1705,-0.4462,1,Disengaged,Low eng / low grades,4,Completed
1706,0.6035,1,Engaged struggler,High eng / low grades,4,Completed
1707,0.6754,3,Engaged achiever,High eng / high grades,4,Completed
1708,0.4212,4,Engaged achiever,High eng / high grades,4,Completed
1709,0.835,1,Engaged struggler,High eng / low grades,4,Completed
1710,-0.4096,1,Disengaged,Low eng / low grades,4,Completed
1711,0.0309,0,Engaged struggler,Low eng / low grades,4,Completed
1712,0.6279,0,Engaged struggler,High eng / low grades,4,Completed
1713,-0.101,1,Disengaged,Low eng / low grades,4,Completed
1714,-1.0708,0,Disengaged,Low eng / low grades,4,Completed
1715,-0.3776,2,Disengaged,Low eng / low grades,4,Administrative dropout
1716,0.1245,4,Engaged achiever,High eng / high grades,4,Completed
1717,-0.245,0,Disengaged,Low eng / low grades,1,Left after Test 1
1718,0.3216,4,Engaged achiever,High eng / high grades,4,Completed
1719,0.3043,4,Engaged achiever,High eng / high grades,4,Completed
1720,-1.0996,4,Detached achiever,Low eng / high grades,4,Completed
1721,-0.2653,3,Detached achiever,Low eng / high grades,4,Administrative dropout
1722,-0.2794,4,Detached achiever,Low eng / high grades,2,Left after Test 2
1723,1.1546,2,Engaged struggler,High eng / low grades,4,Completed
1724,-1.0473,0,Disengaged,Low eng / low grades,1,Left after Test 1
1725,0.0079,4,Engaged achiever,High eng / high grades,4,Completed
1726,0.1276,4,Engaged achiever,High eng / high grades,4,Completed
1727,-0.2893,4,Detached achiever,Low eng / high grades,4,Completed
1728,0.1035,3,Engaged achiever,High eng / high grades,4,Completed
1729,-0.1099,3,Detached achiever,High eng / high grades,4,Completed
1730,1.0498,4,Engaged achiever,High eng / high grades,4,Completed
1731,0.1498,2,Engaged struggler,High eng / low grades,4,Completed
1732,-0.9384,3,Detached achiever,Low eng / high grades,4,Administrative dropout
1733,0.3089,4,Engaged achiever,High eng / high grades,4,Completed
1734,-0.4113,1,Disengaged,Low eng / low grades,4,Completed
1735,0.5517,4,Engaged achiever,High eng / high grades,4,Completed
1736,0.1636,1,Engaged struggler,High eng / low grades,4,Completed
1737,1.0654,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1738,0.0015,0,Disengaged,Low eng / low grades,4,Completed
1739,-0.0551,3,Detached achiever,High eng / high grades,4,Completed
1740,0.0652,2,Engaged struggler,Low eng / low grades,4,Completed
1741,0.3438,4,Engaged achiever,High eng / high grades,4,Completed
1742,-0.6567,3,Detached achiever,Low eng / high grades,1,Left after Test 1
1743,0.3646,3,Engaged achiever,High eng / high grades,4,Completed
1744,-0.1212,4,Detached achiever,High eng / high grades,2,Left after Test 2
1745,0.1911,3,Engaged achiever,High eng / high grades,4,Completed
1746,-0.219,4,Detached achiever,Low eng / high grades,4,Completed
1747,0.2637,3,Engaged achiever,High eng / high grades,4,Completed
1748,-0.611,1,Disengaged,Low eng / low grades,1,Left after Test 1
1749,1.3757,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1750,1.0658,1,Engaged struggler,High eng / low grades,4,Completed
1751,-0.3201,0,Disengaged,Low eng / low grades,4,Completed
1752,-0.3373,2,Disengaged,Low eng / low grades,4,Administrative dropout
1753,0.3015,3,Engaged achiever,High eng / high grades,4,Completed
1754,-0.3624,1,Disengaged,Low eng / low grades,4,Completed
1755,-0.9008,3,Detached achiever,Low eng / high grades,2,Left after Test 2
1756,-0.6413,1,Disengaged,Low eng / low grades,2,Left after Test 2
1757,0.6873,3,Engaged achiever,High eng / high grades,4,Completed
1758,0.2657,0,Engaged struggler,High eng / low grades,4,Completed
1759,0.4405,4,Engaged achiever,High eng / high grades,4,Completed
1760,-0.7139,0,Disengaged,Low eng / low grades,1,Left after Test 1
1761,0.2866,2,Engaged struggler,High eng / low grades,4,Completed
1762,-0.4774,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1763,-1.0326,1,Disengaged,Low eng / low grades,1,Left after Test 1
1764,-1.0874,4,Detached achiever,Low eng / high grades,4,Completed
1765,-0.0921,2,Disengaged,Low eng / low grades,4,Completed
1766,-1.3547,4,Detached achiever,Low eng / high grades,4,Administrative dropout
1767,0.6204,1,Engaged struggler,High eng / low grades,4,Completed
1768,1.5863,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1769,0.7745,2,Engaged struggler,High eng / low grades,4,Administrative dropout
1770,-0.3615,1,Disengaged,Low eng / low grades,4,Administrative dropout
1771,1.3333,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1772,-0.2644,3,Detached achiever,Low eng / high grades,4,Completed
1773,0.2983,3,Engaged achiever,High eng / high grades,4,Administrative dropout
1774,-0.7156,2,Disengaged,Low eng / low grades,2,Left after Test 2
1775,0.1449,4,Engaged achiever,High eng / high grades,4,Completed
1776,0.4847,0,Engaged struggler,High eng / low grades,4,Completed
1777,0.3642,3,Engaged achiever,High eng / high grades,1,Left after Test 1
1778,0.1525,1,Engaged struggler,High eng / low grades,4,Completed
1779,-0.0729,0,Disengaged,Low eng / low grades,4,Completed
1780,0.6902,1,Engaged struggler,High eng / low grades,4,Completed
1781,-0.783,1,Disengaged,Low eng / low grades,1,Left after Test 1
1782,1.147,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1783,-0.7243,2,Disengaged,Low eng / low grades,2,Left after Test 2
1784,0.9713,4,Engaged achiever,High eng / high grades,4,Completed
1785,-0.1241,0,Disengaged,Low eng / low grades,4,Completed
1786,-1.0825,4,Detached achiever,Low eng / high grades,4,Completed
1787,0.1677,3,Engaged achiever,High eng / high grades,2,Left after Test 2
1788,0.2873,4,Engaged achiever,High eng / high grades,4,Completed
1789,0.8095,3,Engaged achiever,High eng / high grades,4,Completed
1790,-0.3939,1,Disengaged,Low eng / low grades,3,Left after Test 3
1791,0.0419,1,Engaged struggler,Low eng / low grades,4,Administrative dropout
1792,-0.4683,0,Disengaged,Low eng / low grades,4,Completed
1793,1.0411,4,Engaged achiever,High eng / high grades,4,Completed
1794,0.6069,3,Engaged achiever,High eng / high grades,4,Completed
1795,-0.9237,0,Disengaged,Low eng / low grades,4,Completed
1796,-0.5259,4,Detached achiever,Low eng / high grades,4,Completed
1797,0.7348,4,Engaged achiever,High eng / high grades,4,Administrative dropout
1798,-0.0753,1,Disengaged,Low eng / low grades,3,Left after Test 3
1799,0.0413,2,Engaged struggler,Low eng / low grades,4,Completed
1800,0.481,0,Engaged struggler,High eng / low grades,4,Completed
1801,-0.0817,0,Disengaged,Low eng / low grades,4,Completed
1802,0.0508,0,Engaged struggler,Low eng / low grades,4,Completed
1803,0.4983,3,Engaged achiever,High eng / high grades,4,Completed
1804,0.1225,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1805,-0.6556,1,Disengaged,Low eng / low grades,1,Left after Test 1
1806,0.1314,4,Engaged achiever,High eng / high grades,4,Completed
1807,-0.0557,1,Disengaged,Low eng / low grades,4,Completed
1808,0.1869,0,Engaged struggler,High eng / low grades,1,Left after Test 1
1809,0.6817,4,Engaged achiever,High eng / high grades,4,Completed
1810,-1.0179,0,Disengaged,Low eng / low grades,1,Left after Test 1
1811,0.2508,4,Engaged achiever,High eng / high grades,4,Completed
1812,-0.8529,3,Detached achiever,Low eng / high grades,1,Left after Test 1
1813,-0.6732,0,Disengaged,Low eng / low grades,4,Administrative dropout
1814,-0.9454,4,Detached achiever,Low eng / high grades,4,Completed
1815,0.078,4,Engaged achiever,High eng / high grades,4,Completed
1816,0.664,2,Engaged struggler,High eng / low grades,4,Completed
1817,-1.1458,0,Disengaged,Low eng / low grades,1,Left after Test 1
1818,-0.0083,2,Disengaged,Low eng / low grades,3,Left after Test 3
1819,-0.2491,0,Disengaged,Low eng / low grades,1,Left after Test 1
1820,-0.0409,1,Disengaged,Low eng / low grades,4,Completed
1821,-0.2302,4,Detached achiever,Low eng / high grades,4,Completed
1822,-1.0757,4,Detached achiever,Low eng / high grades,4,Completed
1823,-0.6388,1,Disengaged,Low eng / low grades,4,Administrative dropout
1824,-0.118,2,Disengaged,Low eng / low grades,4,Completed
1825,1.9658,1,Engaged struggler,High eng / low grades,2,Left after Test 2
1826,-1.1667,4,Detached achiever,Low eng / high grades,4,Completed
1827,-0.1765,4,Detached achiever,Low eng / high grades,4,Completed
1828,0.3085,2,Engaged struggler,High eng / low grades,4,Completed
1829,-1.1075,0,Disengaged,Low eng / low grades,4,Completed
1830,0.6067,0,Engaged struggler,High eng / low grades,4,Completed
1831,0.2059,2,Engaged struggler,High eng / low grades,4,Completed
1832,0.254,3,Engaged achiever,High eng / high grades,4,Completed
1833,-0.6312,4,Detached achiever,Low eng / high grades,3,Left after Test 3
1834,0.1103,0,Engaged struggler,High eng / low grades,4,Completed
1835,-0.2427,1,Disengaged,Low eng / low grades,4,Completed
1836,1.0951,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1837,1.2457,0,Engaged struggler,High eng / low grades,4,Completed
1838,0.0796,3,Engaged achiever,High eng / high grades,3,Left after Test 3
1839,0.0179,1,Engaged struggler,Low eng / low grades,4,Completed
1840,-1.0586,4,Detached achiever,Low eng / high grades,4,Completed
1841,-0.1161,4,Detached achiever,High eng / high grades,4,Completed
1842,-0.2495,4,Detached achiever,Low eng / high grades,4,Completed
1843,0.5828,0,Engaged struggler,High eng / low grades,4,Completed
1844,-0.2847,4,Detached achiever,Low eng / high grades,4,Completed
1845,1.8748,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1846,0.3992,4,Engaged achiever,High eng / high grades,4,Completed
1847,-1.0754,4,Detached achiever,Low eng / high grades,4,Completed
1848,0.0989,2,Engaged struggler,High eng / low grades,4,Completed
1849,0.8255,1,Engaged struggler,High eng / low grades,4,Completed
1850,-0.466,1,Disengaged,Low eng / low grades,1,Left after Test 1
1851,-0.1286,1,Disengaged,Low eng / low grades,4,Completed
1852,-0.1784,4,Detached achiever,Low eng / high grades,4,Completed
1853,-0.0305,1,Disengaged,Low eng / low grades,4,Completed
1854,0.4093,1,Engaged struggler,High eng / low grades,4,Completed
1855,0.7936,1,Engaged struggler,High eng / low grades,4,Completed
1856,0.2301,3,Engaged achiever,High eng / high grades,2,Left after Test 2
1857,-0.1184,4,Detached achiever,High eng / high grades,4,Completed
1858,0.0053,3,Engaged achiever,High eng / high grades,3,Left after Test 3
1859,0.5027,0,Engaged struggler,High eng / low grades,4,Completed
1860,0.6014,2,Engaged struggler,High eng / low grades,4,Completed
1861,0.2818,0,Engaged struggler,High eng / low grades,4,Completed
1862,0.8485,0,Engaged struggler,High eng / low grades,4,Completed
1863,0.3926,2,Engaged struggler,High eng / low grades,4,Administrative dropout
1864,-0.0549,2,Disengaged,Low eng / low grades,2,Left after Test 2
1865,-0.9064,3,Detached achiever,Low eng / high grades,4,Completed
1866,0.1258,4,Engaged achiever,High eng / high grades,4,Completed
1867,0.4216,4,Engaged achiever,High eng / high grades,4,Completed
1868,-0.9258,1,Disengaged,Low eng / low grades,2,Left after Test 2
1869,1.092,0,Engaged struggler,High eng / low grades,4,Completed
1870,0.0432,1,Engaged struggler,Low eng / low grades,4,Completed
1871,-0.0781,4,Detached achiever,High eng / high grades,4,Completed
1872,-0.4116,1,Disengaged,Low eng / low grades,4,Completed
1873,-0.0192,3,Detached achiever,High eng / high grades,4,Completed
1874,0.4081,1,Engaged struggler,High eng / low grades,4,Completed
1875,0.0168,0,Engaged struggler,Low eng / low grades,4,Administrative dropout
1876,0.5823,3,Engaged achiever,High eng / high grades,4,Administrative dropout
1877,0.3337,1,Engaged struggler,High eng / low grades,4,Completed
1878,-0.761,2,Disengaged,Low eng / low grades,1,Left after Test 1
1879,0.1858,4,Engaged achiever,High eng / high grades,4,Completed
1880,0.5228,2,Engaged struggler,High eng / low grades,4,Completed
1881,-0.1943,0,Disengaged,Low eng / low grades,3,Left after Test 3
1882,0.213,0,Engaged struggler,High eng / low grades,4,Completed
1883,-0.7244,3,Detached achiever,Low eng / high grades,3,Left after Test 3
1884,0.6594,0,Engaged struggler,High eng / low grades,4,Completed
1885,0.3657,3,Engaged achiever,High eng / high grades,4,Administrative dropout
1886,-0.2944,1,Disengaged,Low eng / low grades,3,Left after Test 3
1887,-0.2141,3,Detached achiever,Low eng / high grades,4,Completed
1888,-0.2476,3,Detached achiever,Low eng / high grades,4,Completed
1889,-0.8179,1,Disengaged,Low eng / low grades,4,Administrative dropout
1890,-1.0096,4,Detached achiever,Low eng / high grades,4,Completed
1891,-0.7745,1,Disengaged,Low eng / low grades,4,Administrative dropout
1892,0.1613,3,Engaged achiever,High eng / high grades,4,Completed
1893,0.2742,4,Engaged achiever,High eng / high grades,4,Completed
1894,0.636,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1895,-0.1256,3,Detached achiever,High eng / high grades,4,Completed
1896,0.9538,2,Engaged struggler,High eng / low grades,2,Left after Test 2
1897,-1.2007,3,Detached achiever,Low eng / high grades,4,Completed
1898,0.3184,0,Engaged struggler,High eng / low grades,4,Completed
1899,-0.6225,2,Disengaged,Low eng / low grades,2,Left after Test 2
1900,-0.3829,1,Disengaged,Low eng / low grades,3,Left after Test 3
1901,1.2483,3,Engaged achiever,High eng / high grades,4,Completed
1902,0.2037,4,Engaged achiever,High eng / high grades,4,Completed
1903,-0.3867,4,Detached achiever,Low eng / high grades,3,Left after Test 3
1904,0.0223,3,Engaged achiever,High eng / high grades,4,Completed
1905,0.9286,2,Engaged struggler,High eng / low grades,4,Administrative dropout
1906,0.0219,0,Engaged struggler,Low eng / low grades,4,Completed
1907,-1.1667,3,Detached achiever,Low eng / high grades,4,Completed
1908,2.2839,0,Engaged struggler,High eng / low grades,2,Left after Test 2
1909,-0.3032,3,Detached achiever,Low eng / high grades,4,Administrative dropout
1910,1.1893,1,Engaged struggler,High eng / low grades,4,Completed
1911,0.4814,1,Engaged struggler,High eng / low grades,4,Completed
1912,0.0151,4,Engaged achiever,High eng / high grades,4,Completed
1913,0.4507,1,Engaged struggler,High eng / low grades,4,Completed
1914,0.8453,4,Engaged achiever,High eng / high grades,2,Left after Test 2
1915,0.9165,4,Engaged achiever,High eng / high grades,4,Administrative dropout
1916,0.9268,4,Engaged achiever,High eng / high grades,4,Completed
1917,-0.1018,1,Disengaged,Low eng / low grades,4,Completed
1918,0.5409,0,Engaged struggler,High eng / low grades,4,Completed
1919,0.6708,4,Engaged achiever,High eng / high grades,4,Completed
1920,0.6705,0,Engaged struggler,High eng / low grades,4,Completed
